"filename", "language", "Properties", "pip requirements", "Python", "JSON", "Docker", "Markdown", "YAML", "XML", "HTML", "SCSS", "JavaScript", "CSS", "comment", "blank", "total"
"f:\pr\Stats-Production\Yobi-Frontend-master\apps\static\assets\img\flags\botswana.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 45, 0, 0, 0, 0, 1, 1, 47
"f:\pr\Stats-Production\Yobi-Frontend-master\apps\static\assets\img\flags\brazil.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 44, 0, 0, 0, 0, 1, 1, 46
"f:\pr\Stats-Production\Yobi-Frontend-master\apps\static\assets\img\flags\bulgaria.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 38, 0, 0, 0, 0, 1, 1, 40
"f:\pr\Stats-Production\Yobi-Frontend-master\apps\static\assets\img\flags\cambodia.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 43, 0, 0, 0, 0, 1, 1, 45
"f:\pr\Stats-Production\Yobi-Frontend-master\apps\static\assets\img\flags\cameroon.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 40, 0, 0, 0, 0, 1, 1, 42
"f:\pr\Stats-Production\Yobi-Frontend-master\apps\static\assets\img\flags\canada.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 42, 0, 0, 0, 0, 1, 1, 44
"f:\pr\Stats-Production\Yobi-Frontend-master\apps\static\assets\img\flags\chile.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 39, 0, 0, 0, 0, 1, 1, 41
"f:\pr\Stats-Production\Yobi-Frontend-master\apps\static\assets\img\flags\china.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 1, 1, 23
"f:\pr\Stats-Production\Yobi-Frontend-master\apps\static\assets\img\flags\colombia.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 38, 0, 0, 0, 0, 1, 1, 40
"f:\pr\Stats-Production\Yobi-Frontend-master\apps\static\assets\img\flags\costa-rica.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 41, 0, 0, 0, 0, 1, 1, 43
"f:\pr\Stats-Production\Yobi-Frontend-master\apps\static\assets\img\flags\croatia.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 65, 0, 0, 0, 0, 1, 1, 67
"f:\pr\Stats-Production\Yobi-Frontend-master\apps\static\assets\img\flags\cuba.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 48, 0, 0, 0, 0, 1, 1, 50
"f:\pr\Stats-Production\Yobi-Frontend-master\apps\static\assets\img\flags\cyprus.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 42, 0, 0, 0, 0, 1, 1, 44
"f:\pr\Stats-Production\Yobi-Frontend-master\apps\static\assets\img\flags\czech-republic.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 39, 0, 0, 0, 0, 1, 1, 41
"f:\pr\Stats-Production\Yobi-Frontend-master\apps\static\assets\img\flags\denmark.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 44, 0, 0, 0, 0, 1, 1, 46
"f:\pr\Stats-Production\Yobi-Frontend-master\apps\static\assets\img\flags\ecuador.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 45, 0, 0, 0, 0, 1, 1, 47
"f:\pr\Stats-Production\Yobi-Frontend-master\apps\static\assets\img\flags\egypt.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 41, 0, 0, 0, 0, 1, 1, 43
"f:\pr\Stats-Production\Yobi-Frontend-master\apps\static\assets\img\flags\estonia.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 38, 0, 0, 0, 0, 1, 1, 40
"f:\pr\Stats-Production\Yobi-Frontend-master\apps\static\assets\img\flags\ethiopia.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 47, 0, 0, 0, 0, 1, 1, 49
"f:\pr\Stats-Production\Yobi-Frontend-master\apps\static\assets\img\flags\finland.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 38, 0, 0, 0, 0, 1, 1, 40
"f:\pr\Stats-Production\Yobi-Frontend-master\apps\static\assets\img\flags\france.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 37, 0, 0, 0, 0, 1, 1, 39
"f:\pr\Stats-Production\Yobi-Frontend-master\apps\static\assets\img\flags\georgia.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 49, 0, 0, 0, 0, 1, 1, 51
"f:\pr\Stats-Production\Yobi-Frontend-master\apps\static\assets\img\flags\germany.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 39, 0, 0, 0, 0, 1, 1, 41
"f:\pr\Stats-Production\Yobi-Frontend-master\apps\static\assets\img\flags\greece.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 45, 0, 0, 0, 0, 1, 1, 47
"f:\pr\Stats-Production\Yobi-Frontend-master\apps\static\assets\img\flags\haiti.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 42, 0, 0, 0, 0, 1, 1, 44
"f:\pr\Stats-Production\Yobi-Frontend-master\apps\static\assets\img\flags\hong-kong.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 49, 0, 0, 0, 0, 1, 1, 51
"f:\pr\Stats-Production\Yobi-Frontend-master\apps\static\assets\img\flags\hungary.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 38, 0, 0, 0, 0, 1, 1, 40
"f:\pr\Stats-Production\Yobi-Frontend-master\apps\static\assets\img\flags\iceland.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 46, 0, 0, 0, 0, 1, 1, 48
"f:\pr\Stats-Production\Yobi-Frontend-master\apps\static\assets\img\flags\india.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 41, 0, 0, 0, 0, 1, 1, 43
"f:\pr\Stats-Production\Yobi-Frontend-master\apps\static\assets\img\flags\indonesia.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 36, 0, 0, 0, 0, 1, 1, 38
"f:\pr\Stats-Production\Yobi-Frontend-master\apps\static\assets\img\flags\iran.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 45, 0, 0, 0, 0, 1, 1, 47
