"filename", "language", "Python", "XML", "QSS", "Markdown", "HTML", "SQL", "JSON", "CSV", "C++", "comment", "blank", "total"
"f:\pr\yobi-desktop\Single_User\images\images\yobi.svg", "XML", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"f:\pr\yobi-desktop\Single_User\invoice.py", "Python", 400, 0, 0, 0, 0, 0, 0, 0, 0, 60, 111, 571
"f:\pr\yobi-desktop\Single_User\logo_y.svg", "XML", 0, 60, 0, 0, 0, 0, 0, 0, 0, 0, 1, 61
"f:\pr\yobi-desktop\Single_User\main.py", "Python", 5770, 0, 0, 0, 0, 0, 0, 0, 0, 483, 500, 6753
"f:\pr\yobi-desktop\Single_User\manifest.xml", "XML", 0, 17, 0, 0, 0, 0, 0, 0, 0, 1, 0, 18
"f:\pr\yobi-desktop\Single_User\modules\Table_resizeing.py", "Python", 111, 0, 0, 0, 0, 0, 0, 0, 0, 3, 20, 134
"f:\pr\yobi-desktop\Single_User\modules\TrippleEntry.md", "Markdown", 0, 0, 0, 26, 0, 0, 0, 0, 0, 0, 2, 28
"f:\pr\yobi-desktop\Single_User\modules\__init__.py", "Python", 7, 0, 0, 0, 0, 0, 0, 0, 0, 4, 6, 17
"f:\pr\yobi-desktop\Single_User\modules\accounts.py", "Python", 540, 0, 0, 0, 0, 0, 0, 0, 0, 90, 85, 715
"f:\pr\yobi-desktop\Single_User\modules\admin.py", "Python", 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 21
"f:\pr\yobi-desktop\Single_User\modules\app_functions.py", "Python", 8, 0, 0, 0, 0, 0, 0, 0, 0, 32, 4, 44
"f:\pr\yobi-desktop\Single_User\modules\app_settings.py", "Python", 9, 0, 0, 0, 0, 0, 0, 0, 0, 7, 2, 18
"f:\pr\yobi-desktop\Single_User\modules\bills.py", "Python", 311, 0, 0, 0, 0, 0, 0, 0, 0, 20, 31, 362
"f:\pr\yobi-desktop\Single_User\modules\charts.py", "Python", 355, 0, 0, 0, 0, 0, 0, 0, 0, 24, 70, 449
"f:\pr\yobi-desktop\Single_User\modules\circular_progress.py", "Python", 63, 0, 0, 0, 0, 0, 0, 0, 0, 27, 16, 106
"f:\pr\yobi-desktop\Single_User\modules\combo_search.py", "Python", 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 31
"f:\pr\yobi-desktop\Single_User\modules\contextmanager\contex_manager.py", "Python", 13, 0, 0, 0, 0, 0, 0, 0, 0, 4, 1, 18
"f:\pr\yobi-desktop\Single_User\modules\entrance.py", "Python", 207, 0, 0, 0, 0, 0, 0, 0, 0, 16, 30, 253
"f:\pr\yobi-desktop\Single_User\modules\exceptions\exceptions.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"f:\pr\yobi-desktop\Single_User\modules\frontend\res.py", "Python", 8504, 0, 0, 0, 0, 0, 0, 0, 0, 35, 8, 8547
"f:\pr\yobi-desktop\Single_User\modules\frontend\resources_rc.py", "Python", 39062, 0, 0, 0, 0, 0, 0, 0, 0, 49, 8, 39119
"f:\pr\yobi-desktop\Single_User\modules\frontend\ui_Fixedexpenseedit.py", "Python", 181, 0, 0, 0, 0, 0, 0, 0, 0, 10, 42, 233
"f:\pr\yobi-desktop\Single_User\modules\frontend\ui_add_ledger.py", "Python", 610, 0, 0, 0, 0, 0, 0, 0, 0, 10, 24, 644
"f:\pr\yobi-desktop\Single_User\modules\frontend\ui_addstock.py", "Python", 232, 0, 0, 0, 0, 0, 0, 0, 0, 24, 60, 316
"f:\pr\yobi-desktop\Single_User\modules\frontend\ui_ash.py", "Python", 159, 0, 0, 0, 0, 0, 0, 0, 0, 10, 30, 199
"f:\pr\yobi-desktop\Single_User\modules\frontend\ui_bills.py", "Python", 627, 0, 0, 0, 0, 0, 0, 0, 0, 10, 36, 673
"f:\pr\yobi-desktop\Single_User\modules\frontend\ui_bizdetail.py", "Python", 108, 0, 0, 0, 0, 0, 0, 0, 0, 10, 31, 149
"f:\pr\yobi-desktop\Single_User\modules\frontend\ui_campaign.py", "Python", 674, 0, 0, 0, 0, 0, 0, 0, 0, 12, 58, 744
"f:\pr\yobi-desktop\Single_User\modules\frontend\ui_coa.py", "Python", 637, 0, 0, 0, 0, 0, 0, 0, 0, 10, 38, 685
"f:\pr\yobi-desktop\Single_User\modules\frontend\ui_currentassetsedit.py", "Python", 181, 0, 0, 0, 0, 0, 0, 0, 0, 10, 42, 233
"f:\pr\yobi-desktop\Single_User\modules\frontend\ui_department.py", "Python", 644, 0, 0, 0, 0, 0, 0, 0, 0, 10, 44, 698
"f:\pr\yobi-desktop\Single_User\modules\frontend\ui_employee.py", "Python", 678, 0, 0, 0, 0, 0, 0, 0, 0, 10, 60, 748
"f:\pr\yobi-desktop\Single_User\modules\frontend\ui_fixedassetsedit.py", "Python", 181, 0, 0, 0, 0, 0, 0, 0, 0, 10, 42, 233
"f:\pr\yobi-desktop\Single_User\modules\frontend\ui_fixedexpenseadd.py", "Python", 101, 0, 0, 0, 0, 0, 0, 0, 0, 10, 9, 120
"f:\pr\yobi-desktop\Single_User\modules\frontend\ui_income_edit.py", "Python", 183, 0, 0, 0, 0, 0, 0, 0, 0, 10, 44, 237
"f:\pr\yobi-desktop\Single_User\modules\frontend\ui_journalentry.py", "Python", 630, 0, 0, 0, 0, 0, 0, 0, 0, 10, 32, 672
"f:\pr\yobi-desktop\Single_User\modules\frontend\ui_login.py", "Python", 119, 0, 0, 0, 0, 0, 0, 0, 0, 10, 23, 152
"f:\pr\yobi-desktop\Single_User\modules\frontend\ui_login_accounts.py", "Python", 99, 0, 0, 0, 0, 0, 0, 0, 0, 10, 18, 127
"f:\pr\yobi-desktop\Single_User\modules\frontend\ui_login_admin.py", "Python", 95, 0, 0, 0, 0, 0, 0, 0, 0, 10, 19, 124
